Introducing contestants...
* Player 1, weighing 23 bytes, "zork" ("I'M ALIIIIVE") !
* Player 2, weighing 617 bytes, "helltrain" ("choo-choo, motherf*****s !") !
Process 1 hasn't lived for 2155 cycles (CTD 1286)
Process 1277 hasn't lived for 807 cycles (CTD 736)
Process 1276 hasn't lived for 807 cycles (CTD 736)
Process 1275 hasn't lived for 807 cycles (CTD 736)
Process 1274 hasn't lived for 807 cycles (CTD 736)
Process 1270 hasn't lived for 847 cycles (CTD 736)
Process 1129 hasn't lived for 767 cycles (CTD 736)
Process 1128 hasn't lived for 787 cycles (CTD 736)
Process 1127 hasn't lived for 807 cycles (CTD 736)
Process 1126 hasn't lived for 807 cycles (CTD 736)
Process 1121 hasn't lived for 847 cycles (CTD 736)
Process 990 hasn't lived for 767 cycles (CTD 736)
Process 989 hasn't lived for 807 cycles (CTD 736)
Process 984 hasn't lived for 847 cycles (CTD 736)
Process 862 hasn't lived for 787 cycles (CTD 736)
Process 746 hasn't lived for 807 cycles (CTD 736)
Process 1403 hasn't lived for 803 cycles (CTD 686)
Process 1402 hasn't lived for 803 cycles (CTD 686)
Process 1401 hasn't lived for 803 cycles (CTD 686)
Process 1400 hasn't lived for 803 cycles (CTD 686)
Process 1399 hasn't lived for 803 cycles (CTD 686)
Process 1398 hasn't lived for 803 cycles (CTD 686)
Process 1397 hasn't lived for 823 cycles (CTD 686)
Process 1273 hasn't lived for 703 cycles (CTD 686)
Process 1272 hasn't lived for 703 cycles (CTD 686)
Process 1271 hasn't lived for 703 cycles (CTD 686)
Process 1269 hasn't lived for 723 cycles (CTD 686)
Process 1268 hasn't lived for 723 cycles (CTD 686)
Process 1267 hasn't lived for 723 cycles (CTD 686)
Process 1265 hasn't lived for 743 cycles (CTD 686)
Process 1264 hasn't lived for 743 cycles (CTD 686)
Process 1263 hasn't lived for 743 cycles (CTD 686)
Process 1262 hasn't lived for 743 cycles (CTD 686)
Process 1260 hasn't lived for 763 cycles (CTD 686)
Process 1259 hasn't lived for 763 cycles (CTD 686)
Process 1258 hasn't lived for 763 cycles (CTD 686)
Process 1257 hasn't lived for 763 cycles (CTD 686)
Process 1255 hasn't lived for 783 cycles (CTD 686)
Process 1254 hasn't lived for 783 cycles (CTD 686)
Process 1253 hasn't lived for 783 cycles (CTD 686)
Process 1252 hasn't lived for 783 cycles (CTD 686)
Process 1251 hasn't lived for 783 cycles (CTD 686)
Process 1249 hasn't lived for 803 cycles (CTD 686)
Process 1248 hasn't lived for 803 cycles (CTD 686)
Process 1247 hasn't lived for 803 cycles (CTD 686)
Process 1246 hasn't lived for 803 cycles (CTD 686)
Process 1245 hasn't lived for 803 cycles (CTD 686)
Process 1243 hasn't lived for 823 cycles (CTD 686)
Process 1123 hasn't lived for 703 cycles (CTD 686)
Process 1120 hasn't lived for 723 cycles (CTD 686)
Process 1115 hasn't lived for 743 cycles (CTD 686)
Process 1112 hasn't lived for 763 cycles (CTD 686)
Process 1105 hasn't lived for 783 cycles (CTD 686)
Process 1102 hasn't lived for 803 cycles (CTD 686)
Process 1093 hasn't lived for 823 cycles (CTD 686)
Process 1079 hasn't lived for 863 cycles (CTD 686)
Process 987 hasn't lived for 703 cycles (CTD 686)
Process 981 hasn't lived for 743 cycles (CTD 686)
Process 973 hasn't lived for 783 cycles (CTD 686)
Process 963 hasn't lived for 823 cycles (CTD 686)
Process 1458 hasn't lived for 809 cycles (CTD 636)
Process 1457 hasn't lived for 809 cycles (CTD 636)
Process 1456 hasn't lived for 809 cycles (CTD 636)
Process 1455 hasn't lived for 809 cycles (CTD 636)
Process 1454 hasn't lived for 809 cycles (CTD 636)
Process 1453 hasn't lived for 809 cycles (CTD 636)
Process 1452 hasn't lived for 809 cycles (CTD 636)
Process 1451 hasn't lived for 809 cycles (CTD 636)
Process 1450 hasn't lived for 809 cycles (CTD 636)
Process 1449 hasn't lived for 809 cycles (CTD 636)
Process 1448 hasn't lived for 809 cycles (CTD 636)
Process 1447 hasn't lived for 829 cycles (CTD 636)
Process 1396 hasn't lived for 649 cycles (CTD 636)
Process 1395 hasn't lived for 649 cycles (CTD 636)
Process 1394 hasn't lived for 649 cycles (CTD 636)
Process 1393 hasn't lived for 649 cycles (CTD 636)
Process 1392 hasn't lived for 649 cycles (CTD 636)
Process 1391 hasn't lived for 649 cycles (CTD 636)
Process 1389 hasn't lived for 669 cycles (CTD 636)
Process 1388 hasn't lived for 669 cycles (CTD 636)
Process 1387 hasn't lived for 669 cycles (CTD 636)
